SMILES,Molecule,Veri. SMILES,Log Name,Log Path,Unnamed: 0,Log Mol. Objects
FC(=C)C(C(C(F)(F)F)(F)F)(F)F,C5H2F8,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,41_pentene,/qchem_data/log_to_pdb_in/41_pentene.log,22,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91af0>
[O]OC([C](F)F)(F)F,C2F4O2,[O]OC(F)(F)[C](F)F,c2f4o2,/qchem_data/log_to_pdb_in/c2f4o2.log,23,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91a80>
OCCC(C(F)(F)F)(F)F,C4H5F5O,OCCC(F)(F)C(F)(F)F,22ftoh,/qchem_data/log_to_pdb_in/22ftoh.log,24,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91a10>
F[CH]F,CHF2,F[CH]F,cf2h,/qchem_data/log_to_pdb_in/cf2h.log,25,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a919a0>
FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(S([O])(O)[O])F,C7HF15O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhps,/qchem_data/log_to_pdb_in/pfhps.log,26,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91930>
O=C1OC1(F)F,C2F2O2,O=C1OC1(F)F,lactone,/qchem_data/log_to_pdb_in/lactone.log,27,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a918c0>
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(C(F)(F)F)F,C4H2F9NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fbsa,/qchem_data/log_to_pdb_in/fbsa.log,28,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91850>
C=CC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H3F11,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52_heptene,/qchem_data/log_to_pdb_in/52_heptene.log,29,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a917e0>
F/C(=C(\C(C(F)(F)F)(F)F)/F)/C(F)(F)F.[F],C5F11,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],c5_sec_tert_rad_isots,/qchem_data/log_to_pdb_in/c5_sec_tert_rad_isots.log,30,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91770>
[O]C(OC(F)(F)F)(F)F,C2F5O2,[O]C(F)(F)OC(F)(F)F,cf3o_cf2o_prod,/qchem_data/log_to_pdb_in/cf3o_cf2o_prod.log,31,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91cb0>
OC(F)(F)O.O,CH4F2O3,O.OC(O)(F)F,cf2o_2h2oprod,/qchem_data/log_to_pdb_in/cf2o_2h2oprod.log,32,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91620>
FC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C12HF25,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_dodecane,/qchem_data/log_to_pdb_in/1H_dodecane.log,33,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91700>
CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H5F9,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42rh,/qchem_data/log_to_pdb_in/42rh.log,34,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91690>
FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C8H2F17NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fosa,/qchem_data/log_to_pdb_in/fosa.log,35,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91540>
FC(=O)[C@@](C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,C6F12O2,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_carbF,/qchem_data/log_to_pdb_in/frd_903_carbF.log,36,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a914d0>
O[C](F)F,CHF2O,O[C](F)F,cf2oh,/qchem_data/log_to_pdb_in/cf2oh.log,37,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91460>
NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H6F11NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52_ftsa,/qchem_data/log_to_pdb_in/52_ftsa.log,38,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a913f0>
F[C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,C8F17,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c8_secondary_rad,/qchem_data/log_to_pdb_in/c8_secondary_rad.log,39,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91380>
FC(F)(F)F,CF4,FC(F)(F)F,cf4,/qchem_data/log_to_pdb_in/cf4.log,40,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a915b0>
F[C](C(C(C(F)(F)F)(F)F)(F)F)F,C4F9,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c4_rad,/qchem_data/log_to_pdb_in/1_octane_c4_rad.log,41,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91310>
F[C]C(F)(F)F,C2F4,F[C]C(F)(F)F,cf3cf_carbene,/qchem_data/log_to_pdb_in/cf3cf_carbene.log,42,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91230>
C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C6H3F9,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_hexene,/qchem_data/log_to_pdb_in/42_hexene.log,43,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a912a0>
[C]=O,CO,[C]=O,co,/qchem_data/log_to_pdb_in/co.log,44,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a911c0>
F[C](C(F)(F)F)C(F)(F)O,C3HF6O,OC(F)(F)[C](F)C(F)(F)F,hfp_1oh_2nd,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log,45,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a910e0>
FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C10HF21,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_decane,/qchem_data/log_to_pdb_in/1H_decane.log,46,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91070>
FC(C(F)(F)F)(CCS([O])([O])O)F,C4H5F5O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)F,22_fts,/qchem_data/log_to_pdb_in/22_fts.log,47,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91000>
FC(=C(C(F)(F)F)F)F,C3F6,FC(F)=C(F)C(F)(F)F,c3f6,/qchem_data/log_to_pdb_in/c3f6.log,48,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90f90>
F[C](C(F)(F)F)C(F)(F)F,C3F7,F[C](C(F)(F)F)C(F)(F)F,c3f7_2nd,/qchem_data/log_to_pdb_in/c3f7_2nd.log,49,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90f20>
FC([C@@]1(F)OOC1(F)F)(F)F,C3F6O2,FC(F)(F)[C@@]1(F)OOC1(F)F,c3f6o2_ring,/qchem_data/log_to_pdb_in/c3f6o2_ring.log,50,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90eb0>
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,C6F13,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2_hexyl,/qchem_data/log_to_pdb_in/2_hexyl.log,51,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90e40>
O[C]=O,CHO2,O=[C]O,co2h,/qchem_data/log_to_pdb_in/co2h.log,52,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90dd0>
FC(=C(C(F)(F)F)F)F.[OH],C3HF6O,FC(F)=C(F)C(F)(F)F.[OH],hfp_1oh_2rad_scan,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log,53,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90d60>
O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,C6HF11O3,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_0HFAts_prod,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log,54,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a91150>
FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C8HF17,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,octane1H,/qchem_data/log_to_pdb_in/octane1H.log,55,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90c10>
FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C9HF19,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_nonane,/qchem_data/log_to_pdb_in/1H_nonane.log,56,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90cf0>
FC(C(F)(F)O)F,C2H2F4O,OC(F)(F)C(F)F,c2f4h2o_prod,/qchem_data/log_to_pdb_in/c2f4h2o_prod.log,57,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90c80>
F[C](C(C(F)(F)F)(F)F)C(F)(F)O,C4HF8O,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,butene_OH,/qchem_data/log_to_pdb_in/butene_OH.log,58,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90b30>
FC(S(O)([O])[O])(F)F,CHF3O3S,O=S(=O)(O)C(F)(F)F,triflic,/qchem_data/log_to_pdb_in/triflic.log,59,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90ac0>
FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C11HF23,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_undecane,/qchem_data/log_to_pdb_in/1H_undecane.log,60,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90a50>
FC(C(C(S(O)([O])[O])(F)F)(F)F)(F)F,C3HF7O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,pfprs,/qchem_data/log_to_pdb_in/pfprs.log,61,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a909e0>
FC(=C(C(C(F)(F)F)(F)F)F)F,C4F8,FC(F)=C(F)C(F)(F)C(F)(F)F,butene,/qchem_data/log_to_pdb_in/butene.log,62,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90190>
OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F11O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,53_ftca,/qchem_data/log_to_pdb_in/53_ftca.log,63,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90120>
FC(=C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,C7F14,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,heptene,/qchem_data/log_to_pdb_in/heptene.log,64,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a900b0>
OC(F)(O)O,CH3FO3,OC(O)(O)F,cfoh3,/qchem_data/log_to_pdb_in/cfoh3.log,65,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90200>
OC(F)(F)O,CH2F2O2,OC(O)(F)F,cf2oh2,/qchem_data/log_to_pdb_in/cf2oh2.log,66,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a905f0>
F[CH]C(F)(F)F,C2HF4,F[CH]C(F)(F)F,cf3chf,/qchem_data/log_to_pdb_in/cf3chf.log,67,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90660>
FC(C(F)(F)F)(S([O])([O])O)F,C2HF5O3S,O=S(=O)(O)C(F)(F)C(F)(F)F,pfets,/qchem_data/log_to_pdb_in/pfets.log,68,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a906d0>
O[C](C(F)(F)F)C(F)(F)F,C3HF6O,O[C](C(F)(F)F)C(F)(F)F,hfp_2oh_2rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log,69,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90900>
FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,C6H5F9O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_fts,/qchem_data/log_to_pdb_in/42_fts.log,70,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92570>
FC(=O)C(F)(F)F,C2F4O,O=C(F)C(F)(F)F,c2f4o,/qchem_data/log_to_pdb_in/c2f4o.log,71,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a90ba0>
FC(C(C(C(F)(F)F)(F)F)(F)F)F,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,butane1H,/qchem_data/log_to_pdb_in/butane1H.log,72,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a907b0>
[F],F,[F],f,/qchem_data/log_to_pdb_in/f.log,73,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7a92110>
F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7F14,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c7_carbene,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log,74,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac52a0>
OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C4HF9O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfboh,/qchem_data/log_to_pdb_in/pfboh.log,75,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5150>
FC(C(C(F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C6F14,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,hexane,/qchem_data/log_to_pdb_in/hexane.log,76,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5230>
FC(=O)F.O.O,CH4F2O3,O.O.O=C(F)F,cf2o_2h2oreact,/qchem_data/log_to_pdb_in/cf2o_2h2oreact.log,77,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5310>
FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,C5H6F7NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,32_ftsa,/qchem_data/log_to_pdb_in/32_ftsa.log,78,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5380>
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(S([O])(O)[O])(F)F)(F)F)F,C8HF17O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfos,/qchem_data/log_to_pdb_in/pfos.log,79,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac53f0>
F[C](C(C(F)(F)F)(F)F)C(F)(F)F,C4F9,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,c4_secondary_rad,/qchem_data/log_to_pdb_in/c4_secondary_rad.log,80,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5460>
OC(=O)CCC(C(F)(F)F)(F)F,C5H5F5O2,O=C(O)CCC(F)(F)C(F)(F)F,23_ftca,/qchem_data/log_to_pdb_in/23_ftca.log,81,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac54d0>
F/C(=C(\C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,C8F16,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2_octene,/qchem_data/log_to_pdb_in/2_octene.log,82,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5540>
FC(=O)C(C(C(F)(F)F)(F)F)(F)F,C4F8O,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,pfbcof,/qchem_data/log_to_pdb_in/pfbcof.log,83,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac55b0>
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,C3H2F7NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,fprsa,/qchem_data/log_to_pdb_in/fprsa.log,84,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5690>
OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,C4HF7O3,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,c3_oco2h,/qchem_data/log_to_pdb_in/c3_oco2h.log,85,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5700>
O[C](C(C(F)(F)F)(F)F)F,C3HF6O,O[C](F)C(F)(F)C(F)(F)F,hfp_1oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log,86,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5770>
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C8F17,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3_octyl,/qchem_data/log_to_pdb_in/3_octyl.log,87,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5620>
FC1(F)C(F)(F)C(C1(F)F)(F)F,C4F8,FC1(F)C(F)(F)C(F)(F)C1(F)F,cbutane,/qchem_data/log_to_pdb_in/cbutane.log,88,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac57e0>
FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,C6H6F9NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_ftsa,/qchem_data/log_to_pdb_in/42_ftsa.log,89,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5850>
FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,C5HF10O3,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,ester_oh,/qchem_data/log_to_pdb_in/ester_oh.log,90,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5930>
OC(=O)C(C(C(F)(F)F)(F)F)(F)F,C4HF7O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,pfba,/qchem_data/log_to_pdb_in/pfba.log,91,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac59a0>
F/C(=C(\C(F)(F)F)/F)/C(F)(F)F,C4F8,F/C(=C(/F)C(F)(F)F)C(F)(F)F,2_butene_ip,/qchem_data/log_to_pdb_in/2_butene_ip.log,92,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5a10>
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,C5F11,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c5_rad,/qchem_data/log_to_pdb_in/c5_rad.log,93,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5a80>
O=[C]C(F)(F)F,C2F3O,O=[C]C(F)(F)F,cf3co,/qchem_data/log_to_pdb_in/cf3co.log,94,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5af0>
O=O,O2,O=O,o2,/qchem_data/log_to_pdb_in/o2.log,95,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5b60>
F/[C]=C(/C(F)(F)F)\F,C3F5,F/[C]=C(\F)C(F)(F)F,propene_calpha_rad,/qchem_data/log_to_pdb_in/propene_calpha_rad.log,96,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5bd0>
OC(F)F.O,CH4F2O2,O.OC(F)F,cf2_2h2o_prod,/qchem_data/log_to_pdb_in/cf2_2h2o_prod.log,97,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac58c0>
FC([C@@]1(F)OC1(F)F)(F)F,C3F6O,FC(F)(F)[C@@]1(F)OC1(F)F,c3f6o,/qchem_data/log_to_pdb_in/c3f6o.log,98,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5c40>
OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C7H5F9O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43_ftca,/qchem_data/log_to_pdb_in/43_ftca.log,99,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5cb0>
FC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,C4F10,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,butane,/qchem_data/log_to_pdb_in/butane.log,100,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac5d90>
