Molecule,SMILES,Global Sum: Rot Bonds,C Count,F Count,O Count,H Count,Global Sum: bo 1.0,Local Sum: bo 1.0 C-F,Local Sum: bo 1.0 H-O,Global Sum: bo 2.0,Local Sum: bo 2.0 C-O,Local Sum: bo 1.0 C-C,Local Sum: bo 1.0 C-H,Local Sum: bo 2.0 C-C,Local Sum: F-C-C-C Torsional Axes,Local Sum: F-C-C-H Torsional Axes,Local Sum: C-C-C-C Torsional Axes,Local Sum: C-C-C-H Torsional Axes,Local Sum: F-C-C-F Torsional Axes,Local Sum: C-C-C-F Torsional Axes,Local Sum: *H-C-C-C Torsional Axes,Local Sum: *F-C-C-C Torsional Axes,Global Sum: Torsional Axes,Local Sum: bo 2.0 O-O,Local Sum: bo 1.0 C-O,Local Sum: C-C-C-O Torsional Axes,Local Sum: F-C-C-O Torsional Axes,Local Sum: C-C-O-H Torsional Axes,Local Sum: O-C-O-H Torsional Axes,Local Sum: C-C-O-C Torsional Axes,Local Sum: F-C-O-C Torsional Axes,Local Sum: C-O-C-C Torsional Axes,Local Sum: C-O-C-F Torsional Axes,Local Sum: O-C-C-O Torsional Axes,Local Sum: O-C-C-F Torsional Axes,Local Sum: H-C-C-C Torsional Axes,Local Sum: H-C-C-H Torsional Axes,Local Sum: H-C-C-O Torsional Axes,Local Sum: H-C-O-H Torsional Axes,Local Sum: O-C-O-C Torsional Axes,Local Sum: F-C-O-H Torsional Axes,Local Sum: bo 1.0 O-O,Local Sum: C-C-O-O Torsional Axes,Local Sum: F-C-O-O Torsional Axes,Local Sum: H-C-C-F Torsional Axes,Local Sum: bo 1.0 F-H,Local Sum: O-C-C-H Torsional Axes,Local Sum: C-O-C-O Torsional Axes,Local Sum: O-C-C-C Torsional Axes,Local Sum: H-O-C-F Torsional Axes,Local Sum: H-O-C-C Torsional Axes,Local Sum: H-O-C-O Torsional Axes,Local Sum: C-O-C-H Torsional Axes,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cf2_2h2o,F[C]F.O.O,0,1,2,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.729,0.054232,-0.0000516,0.000000025,-4.63E-12,-167.11,97.532
pfpal,O=C(F)C(F)(F)C(F)(F)F,1,3,6,1,0,8,6,0,1,1,2,0,0,3,0,0,0,8,1,0,4,15,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9898,0.11121,-0.00010823,0.0000000489,-8.36E-12,-329.38,95.557
62ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,8,13,1,5,26,13,1,0,0,7,4,0,10,4,5,4,22,11,4,21,66,0,1,1,0,1,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.145,0.2893,-0.00026063,0.00000011217,-1.8532E-11,0,156.24
21_propene,C=C(F)C(F)(F)F,0,3,4,0,2,7,4,0,1,0,1,2,1,3,0,0,0,3,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3416,0.09432,-0.000086552,0.000000038156,-6.4503E-12,0,80.045
pfpeoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,5,11,1,1,17,11,1,0,0,4,0,0,4,0,2,0,18,9,0,13,39,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.9632,0.21492,-0.00021246,0.000000097329,-1.6804E-11,0,127.54
co2,O=C=O,0,1,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7791,0.016904,-0.0000132,0.00000000517,-8.06E-13,0,52.42
pentane,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,5,12,0,0,16,12,0,0,0,4,0,0,7,0,2,0,20,7,0,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7925,0.20703,-0.00020533,0.0000000938,-1.61E-11,-615.05,126.598051
1_pentane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,9,2,1,15,9,1,1,1,4,0,0,4,0,2,0,14,7,0,11,35,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2229,0.19813,-0.00019306,0.0000000877,-1.5E-11,-529.33,123.69
c3f6o2_1st,[O]OC(F)(F)[C](F)C(F)(F)F,2,3,6,2,0,10,6,0,0,0,2,0,0,0,0,0,0,5,5,0,5,15,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,8.4398,0.12567,-0.00012458,0.0000000569,-9.78E-12,0,106.04
c7_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,7,15,0,0,21,15,0,0,0,6,0,0,8,0,4,0,23,13,0,21,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.118,0.26726,-0.0002651,0.000000121,-2.08E-11,-710.8,157.13
1H_dodecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10,12,25,0,1,37,25,0,0,0,11,1,0,18,2,9,1,46,23,1,41,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.372,0.46396,-0.00045395,0.00000020568,-3.519E-11,0,220.31
c4_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,1,4,9,0,0,12,9,0,0,0,3,0,0,2,0,1,0,11,7,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7357,0.153,-0.00015161,0.0000000692,-1.19E-11,-417.63,113.918165
c4f9H_secondary,F[C@@H](C(F)(F)F)C(F)(F)C(F)(F)F,1,4,9,0,1,13,9,0,0,0,3,1,0,5,5,1,1,11,4,1,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6609,0.16006,-0.00015202,0.0000000675,-1.14E-11,-457.83,107.67
2_hexene,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2,6,12,0,0,16,12,0,1,0,4,0,1,4,0,2,0,15,9,0,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.874,0.21558,-0.0002122,0.0000000965,-1.66E-11,-575.6,135.25
cfo2,[O]C(=O)F,0,1,1,2,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.743,0.036252,-0.0000344,0.0000000152,-2.53E-12,-80,64.74
1_heptane,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,7,13,2,1,21,13,1,1,1,6,0,0,8,0,4,0,22,11,0,19,53,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.695,0.27476,-0.00026931,0.000000123,-2.11E-11,-726.25,151.7
51_hexene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,6,10,0,2,16,10,0,1,0,4,2,1,6,0,3,0,16,8,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6842,0.20856,-0.00019992,0.000000089987,-1.5373E-11,0,124.02
pfbcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,2,4,8,1,0,11,8,0,1,1,3,0,0,5,0,1,0,12,3,0,8,24,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7874,0.14927,-0.00014601,0.000000066193,-1.1336E-11,0,109.98
1H_ethane,FC(F)C(F)(F)F,0,2,5,0,1,7,5,0,0,0,1,1,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4.1218,0.080399,-0.000072144,0.000000030713,-5.0126E-12,0,79.742
pfhxa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,6,11,2,1,18,11,1,1,1,5,0,0,6,0,3,0,18,9,0,15,44,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.972,0.23642,-0.00023116,0.00000010511,-1.8056E-11,0,137.72
cfo2h,O=C(O)F,0,1,1,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.562,0.043465,-0.0000385,0.0000000166,-2.75E-12,-147.28,63.717
pentane1H,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,11,0,1,16,11,0,0,0,4,1,0,4,2,2,1,18,9,1,13,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.373,0.19517,-0.00018633,0.000000083,-1.4E-11,-556.45,123.18
hexene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,6,12,0,0,16,12,0,1,0,4,0,1,6,0,3,0,16,8,0,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.802,0.21282,-0.00020922,0.0000000951,-1.63E-11,-567.5,134.2
pfpra,O=C(O)C(F)(F)C(F)(F)F,1,3,5,2,1,9,5,1,1,1,2,0,0,3,0,0,0,6,0,0,3,17,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7283,0.12156,-0.00011688,0.000000052758,-9.0306E-12,0,96.243
hf,F,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0265,-0.00037026,0.000000286,3.51E-10,-1.43E-13,-65.18,41.525
cf3cfoh,O[C](F)C(F)(F)F,1,2,4,1,1,7,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4323,0.083676,-0.0000814,0.0000000371,-6.4E-12,-231.88,83.107
c2f4_oh,OC(F)(F)[C](F)F,2,2,4,1,1,7,4,1,0,0,1,0,0,0,0,0,0,4,0,0,0,9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5.5231,0.083345,-0.000081,0.0000000369,-6.35E-12,-210.36,24.195
c6_secondary_rad,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,6,13,0,0,18,13,0,0,0,5,0,0,6,0,3,0,19,11,0,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.314,0.22917,-0.00022726,0.000000104,-1.79E-11,-613.03,142.85
tfa,O=C(O)C(F)(F)F,0,2,3,2,1,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9462,0.08361,-0.0000793,0.0000000356,-6.09E-12,-250.52,80.676
cf2,F[C]F,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.717,0.02003,-0.0000184,0.00000000784,-1.27E-12,-46.34,57.490866
c6f13oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,6,13,1,1,20,13,1,0,0,5,0,0,6,0,3,0,22,11,0,17,48,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.677,0.2534,-0.00025085,0.000000115,-1.98E-11,-705.78,141.33
c4_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,2,4,9,0,0,12,9,0,0,0,3,0,0,2,0,1,0,14,7,0,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.816,0.15248,-0.00015088,0.0000000688,-1.18E-11,-409.98,114.89
c2f4h2o_prod,OC(F)(F)C(F)F,2,2,4,1,2,8,4,1,0,0,1,1,0,0,2,0,0,4,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4.0754,0.088753,-0.0000797,0.0000000344,-5.7E-12,-264.63,80.947
c5f11oh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,5,11,1,1,17,11,1,0,0,4,0,0,4,0,2,0,18,9,0,13,39,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10.013,0.21486,-0.00021245,0.0000000973,-1.68E-11,-608.21,127.61
pfpnal,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,10,1,0,14,10,0,1,1,4,0,0,4,0,2,0,16,8,0,12,33,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.555,0.18749,-0.00018403,0.0000000836,-1.43E-11,-526.63,123.47
pfoa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,8,15,2,1,24,15,1,1,1,7,0,0,10,0,5,0,26,13,0,23,62,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.427,0.3131,-0.00030747,0.00000014007,-2.4083E-11,0,165.67
c2f4,FC(F)=C(F)F,0,2,4,0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9648,0.061892,-0.000062,0.000000029,-5.13E-12,-160.29,73.976691
heptene,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,7,14,0,0,19,14,0,1,0,5,0,1,8,0,4,0,20,10,0,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.372,0.25169,-0.00024804,0.000000113,-1.94E-11,-665.26,147.34
ester,O=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2,5,10,2,0,15,10,0,1,1,3,0,0,3,0,0,0,10,2,0,5,29,0,2,1,2,0,0,1,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.7623,0.20242,-0.00019772,0.0000000894,-1.53E-11,0,131.11
c2f4o,O=C(F)C(F)(F)F,0,2,4,1,0,5,4,0,1,1,1,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.197,0.073191,-0.000070516,0.000000031674,-5.393E-12,-246.94,79.899
1H_butane,FC(F)C(F)(F)C(F)(F)C(F)(F)F,2,4,9,0,1,13,9,0,0,0,3,1,0,4,0,1,0,14,5,1,9,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7.3837,0.15771,-0.00014929,0.00000006615,-1.1138E-11,0,108.5
61_heptene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,7,12,0,2,19,12,0,1,0,5,2,1,8,0,4,0,20,10,0,18,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3318,0.24725,-0.00023855,0.00000010773,-1.8439E-11,0,137.79
c2f5oh,OC(F)(F)C(F)(F)F,1,2,5,1,1,8,5,1,0,0,1,0,0,0,0,0,0,6,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.7496,0.1002,-0.0000985,0.0000000452,-7.83E-12,-315.65,84.634
c5_rad,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3,5,11,0,0,15,11,0,0,0,4,0,0,4,0,2,0,18,9,0,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.509,0.1821,-0.00017635,0.0000000789,-1.33E-11,-507.44,124.440708
pfhxoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,6,13,1,1,20,13,1,0,0,5,0,0,6,0,3,0,22,11,0,17,48,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.626,0.25346,-0.00025086,0.00000011494,-1.9843E-11,0,141.24
cf3ccf2,FC(F)=[C]C(F)(F)F,0,3,5,0,0,6,5,0,1,0,1,0,1,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.973,0.071301,-0.0000668,0.0000000293,-4.92E-12,-160.82,90.468
