Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Veri. SMILES,SMILES,Log Name,Log Path
C7H6F11NO2S,,,,,,,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52_ftsa,/qchem_data/log_to_pdb_in/52_ftsa.log
C2F4,,,,,,,,F[C]C(F)(F)F,F[C]C(F)(F)F,cf3cf_carbene,/qchem_data/log_to_pdb_in/cf3cf_carbene.log
C6H3F9,,,,,,,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,42_hexene,/qchem_data/log_to_pdb_in/42_hexene.log
C3HF6O,,,,,,,,OC(F)(F)[C](F)C(F)(F)F,F[C](C(F)(F)F)C(F)(F)O,hfp_1oh_2nd,/qchem_data/log_to_pdb_in/hfp_1oh_2nd.log
C10HF21,,,,,,,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_decane,/qchem_data/log_to_pdb_in/1H_decane.log
C4H5F5O3S,,,,,,,,O=S(=O)(O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS([O])([O])O)F,22_fts,/qchem_data/log_to_pdb_in/22_fts.log
C3HF6O,,,,,,,,FC(F)=C(F)C(F)(F)F.[OH],FC(=C(C(F)(F)F)F)F.[OH],hfp_1oh_2rad_scan,/qchem_data/log_to_pdb_in/hfp_1oh_2rad_scan.log
C6HF11O3,,,,,,,,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F.F,frd_903_0HFAts_prod,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod.log
C9HF19,,,,,,,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_nonane,/qchem_data/log_to_pdb_in/1H_nonane.log
CHF3O3S,,,,,,,,O=S(=O)(O)C(F)(F)F,FC(S(O)([O])[O])(F)F,triflic,/qchem_data/log_to_pdb_in/triflic.log
C11HF23,,,,,,,,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,1H_undecane,/qchem_data/log_to_pdb_in/1H_undecane.log
C3HF7O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(O)([O])[O])(F)F)(F)F)(F)F,pfprs,/qchem_data/log_to_pdb_in/pfprs.log
C8H5F11O2,,,,,,,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,53_ftca,/qchem_data/log_to_pdb_in/53_ftca.log
C2HF4,,,,,,,,F[CH]C(F)(F)F,F[CH]C(F)(F)F,cf3chf,/qchem_data/log_to_pdb_in/cf3chf.log
C2HF5O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)F,FC(C(F)(F)F)(S([O])([O])O)F,pfets,/qchem_data/log_to_pdb_in/pfets.log
C3HF6O,,,,,,,,O[C](C(F)(F)F)C(F)(F)F,O[C](C(F)(F)F)C(F)(F)F,hfp_2oh_2rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log
C6H5F9O3S,,,,,,,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,42_fts,/qchem_data/log_to_pdb_in/42_fts.log
C7F14,,,,,,,,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1_octane_c7_carbene,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log
C5H6F7NO2S,,,,,,,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,32_ftsa,/qchem_data/log_to_pdb_in/32_ftsa.log
C8HF17O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(S([O])(O)[O])(F)F)(F)F)F,pfos,/qchem_data/log_to_pdb_in/pfos.log
C5H5F5O2,,,,,,,,O=C(O)CCC(F)(F)C(F)(F)F,OC(=O)CCC(C(F)(F)F)(F)F,23_ftca,/qchem_data/log_to_pdb_in/23_ftca.log
C3H2F7NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,fprsa,/qchem_data/log_to_pdb_in/fprsa.log
C4HF7O3,,,,,,,,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,c3_oco2h,/qchem_data/log_to_pdb_in/c3_oco2h.log
C3HF6O,,,,,,,,O[C](F)C(F)(F)C(F)(F)F,O[C](C(C(F)(F)F)(F)F)F,hfp_1oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log
C8F17,,,,,,,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_octyl,/qchem_data/log_to_pdb_in/3_octyl.log
C6H6F9NO2S,,,,,,,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,42_ftsa,/qchem_data/log_to_pdb_in/42_ftsa.log
C5HF10O3,,,,,,,,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,ester_oh,/qchem_data/log_to_pdb_in/ester_oh.log
C3F5,,,,,,,,F/[C]=C(\F)C(F)(F)F,F/[C]=C(/C(F)(F)F)\F,propene_calpha_rad,/qchem_data/log_to_pdb_in/propene_calpha_rad.log
C7H5F9O2,,,,,,,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,43_ftca,/qchem_data/log_to_pdb_in/43_ftca.log
C7H5F11O3S,,,,,,,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],52_fts,/qchem_data/log_to_pdb_in/52_fts.log
C5HF11O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],pfpes,/qchem_data/log_to_pdb_in/pfpes.log
C8H5F13O,,,,,,,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62ftoh,/qchem_data/log_to_pdb_in/62ftoh.log
C7H2F15NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,fhpsa,/qchem_data/log_to_pdb_in/fhpsa.log
C3F5,,,,,,,,F/[C]=C(/F)C(F)(F)F,F/[C]=C(\C(F)(F)F)/F,propene_talphaF_rad,/qchem_data/log_to_pdb_in/propene_talphaF_rad.log
C2F3,,,,,,,,F[C]=C(F)F,F[C]=C(F)F,cf2cf,/qchem_data/log_to_pdb_in/cf2cf.log
C8F17,,,,,,,,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,4_octyl,/qchem_data/log_to_pdb_in/4_octyl.log
C7H5F11O,,,,,,,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52ftoh,/qchem_data/log_to_pdb_in/52ftoh.log
C5H5F7O,,,,,,,,OCCC(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(F)(F)F)(F)F)(F)F,32ftoh,/qchem_data/log_to_pdb_in/32ftoh.log
C5F11,,,,,,,,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],c5_prim_sec_rad_isots,/qchem_data/log_to_pdb_in/c5_prim_sec_rad_isots.log
C3F5,,,,,,,,F[C](F)C(F)=C(F)F,F[C](C(=C(F)F)F)F,allyl,/qchem_data/log_to_pdb_in/allyl.log
C3HF6O2,,,,,,,,[O]C(O)(F)C(F)(F)C(F)(F)F,FC(C(F)(F)F)(C(F)(O)[O])F,c3f6oOH2nd,/qchem_data/log_to_pdb_in/c3f6oOH2nd.log
C5H5F7O3S,,,,,,,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,32_fts,/qchem_data/log_to_pdb_in/32_fts.log
C4H6F5NO2S,,,,,,,,NS(=O)(=O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS(=O)(=O)N)F,22_ftsa,/qchem_data/log_to_pdb_in/22_ftsa.log
C8H5F13,,,,,,,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62rh,/qchem_data/log_to_pdb_in/62rh.log
C2H6,,,,,,,,CC,CC,c2h6,/qchem_data/log_to_pdb_in/c2h6.log
C6F13,,,,,,,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_pentyl,/qchem_data/log_to_pdb_in/3_pentyl.log
C7H2F12,,,,,,,,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,61_heptene,/qchem_data/log_to_pdb_in/61_heptene.log
C4F9,,,,,,,,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],c4_sec_sec_rad_isots,/qchem_data/log_to_pdb_in/c4_sec_sec_rad_isots.log
C4HF9O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(O)([O])[O])F,pfbs,/qchem_data/log_to_pdb_in/pfbs.log
C3HF6O,,,,,,,,O[C@](F)([C](F)F)C(F)(F)F,F[C]([C@@](C(F)(F)F)(F)O)F,hfp_2oh,/qchem_data/log_to_pdb_in/hfp_2oh.log
C7H5F11,,,,,,,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,52rh,/qchem_data/log_to_pdb_in/52rh.log
C3F6,,,,,,,,F[C](F)C(F)(F)[C](F)F,F[C](C([C](F)F)(F)F)F,cpropane_intts_prod,/qchem_data/log_to_pdb_in/cpropane_intts_prod.log
C3H2F4,,,,,,,,C=C(F)C(F)(F)F,FC(=C)C(F)(F)F,21_propene,/qchem_data/log_to_pdb_in/21_propene.log
C5H5F7,,,,,,,,CCC(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(F)(F)F)(F)F)(F)F,32rh,/qchem_data/log_to_pdb_in/32rh.log
CH2F3NO2S,,,,,,,,NS(=O)(=O)C(F)(F)F,FC(S(=O)(=O)N)(F)F,triflate_amide,/qchem_data/log_to_pdb_in/triflate_amide.log
C7F15,,,,,,,,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,4_heptyl,/qchem_data/log_to_pdb_in/4_heptyl.log
C8H2F14,,,,,,,,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,71_octene,/qchem_data/log_to_pdb_in/71_octene.log
C5H3F7,,,,,,,,C=CC(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(F)(F)F)(F)F)(F)F,32_pentene,/qchem_data/log_to_pdb_in/32_pentene.log
C6HF13O3S,,,,,,,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],pfhxs,/qchem_data/log_to_pdb_in/pfhxs.log
C3HF5O2,,,,,,,,O=C(OC(F)F)C(F)(F)F,FC(OC(=O)C(F)(F)F)F,cf2_tfa_prod,/qchem_data/log_to_pdb_in/cf2_tfa_prod.log
C6H5F7O2,,,,,,,,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,33_ftca,/qchem_data/log_to_pdb_in/33_ftca.log
C2HF4O2,,,,,,,,[O]C(O)(F)C(F)(F)F,FC(C(F)([O])O)(F)F,tfcof_oh,/qchem_data/log_to_pdb_in/tfcof_oh.log
C4H3F5,,,,,,,,C=CC(F)(F)C(F)(F)F,C=CC(C(F)(F)F)(F)F,22_butene,/qchem_data/log_to_pdb_in/22_butene.log
C6H2F13NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,fhxsa,/qchem_data/log_to_pdb_in/fhxsa.log
C4H5F5,,,,,,,,CCC(F)(F)C(F)(F)F,CCC(C(F)(F)F)(F)F,22rh,/qchem_data/log_to_pdb_in/22rh.log
C8H3F13,,,,,,,,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62_octene,/qchem_data/log_to_pdb_in/62_octene.log
C6H5F9O,,,,,,,,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,42ftoh,/qchem_data/log_to_pdb_in/42ftoh.log
C3F6,,,,,,,,FC(F)=C(F)F.F[C]F,FC(=C(F)F)F.F[C]F,cpropane_picomplex,/qchem_data/log_to_pdb_in/cpropane_picomplex.log
C8HF17O,,,,,,,,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,pfooh,/qchem_data/log_to_pdb_in/pfooh.log
C2H2F5NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)F,FC(S(=O)(=O)N)(C(F)(F)F)F,fetsa,/qchem_data/log_to_pdb_in/fetsa.log
C5H2F11NO2S,,,,,,,,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,fpnsa,/qchem_data/log_to_pdb_in/fpnsa.log
C3H8,,,,,,,,CCC,CCC,propane,/qchem_data/log_to_pdb_in/propane.log
C3HF6,,,,,,,,F[CH]C(F)(F)C(F)(F)F,F[CH]C(C(F)(F)F)(F)F,cf3cf2chf,/qchem_data/log_to_pdb_in/cf3cf2chf.log
C3HF6O,,,,,,,,O[C@@](F)([C](F)F)C(F)(F)F,F[C]([C@](C(F)(F)F)(F)O)F,hfp_2oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_1rad_prod.log
C4HF9,,,,,,,,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,2Hbutane,/qchem_data/log_to_pdb_in/2Hbutane.log
C3HF6O,,,,,,,,O/C(F)=C(/F)C(F)(F)F.[F],O/C(=C(\C(F)(F)F)/F)/F.[F],hfp_1oh_ts,/qchem_data/log_to_pdb_in/hfp_1oh_ts.log
C7F15,,,,,,,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,3_heptyl,/qchem_data/log_to_pdb_in/3_heptyl.log
C6H2F10,,,,,,,,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,51_hexene,/qchem_data/log_to_pdb_in/51_hexene.log
C6H4F9NO4S,,,,,,,,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,nmefosaa,/qchem_data/log_to_pdb_in/nmefosaa.log
C2HF4,,,,,,,,F[C](F)C(F)F,FC([C](F)F)F,cf2hcf2,/qchem_data/log_to_pdb_in/cf2hcf2.log
C8H5F13O3S,,,,,,,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,62_fts,/qchem_data/log_to_pdb_in/62_fts.log
C8H6F13NO2S,,,,,,,,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,62_ftsa,/qchem_data/log_to_pdb_in/62_ftsa.log
C3F5O,,,,,,,,O=C(F)[C](F)C(F)(F)F,FC(=O)[C](C(F)(F)F)F,c3f5co,/qchem_data/log_to_pdb_in/c3f5co.log
