,Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K ,Unnamed: 0,S(300K)
98,PFHXAL,12.294,0.22583,-0.00022218,1.01e-07,-1.73e-11,-625.09,137.47,,
99,PFPNAL,10.555,0.18749,-0.00018403,8.36e-08,-1.43e-11,-526.63,123.47,,
100,PFBAL,8.7828,0.1493,-0.00014605,6.62e-08,-1.13e-11,-427.98,109.8,,
101,PFPAL,6.9898,0.11121,-0.00010823,4.89e-08,-8.36e-12,-329.38,95.557,,
102,TFAL,5.1988,0.073197,-7.05e-05,3.17e-08,-5.39e-12,-248.11,79.943,,
103,CFOH3,2.55,0.079268,-7.59e-05,3.52e-08,-6.19e-12,-207.12,71.934,,
104,CH2F,5.88,0.01476,-6.5e-06,1.08e-09,2.83e-15,-134.46,56.413,,
105,CF2OH2,2.252,0.072219,-7e-05,3.24e-08,-5.66e-12,-212.82,70.375,,
106,LACTONE,3.2354,0.064148,-6.22e-05,2.82e-08,-4.84e-12,-139.22,71.645,,
107,CH3,7.1829,0.0071344,9.56e-07,-1.68e-09,3.51e-13,35.82,50.1,,
108,CF2H,4.4063,0.023832,-1.61e-05,5.07e-09,-5.88e-13,-180.46,61.224,,
109,COOH2,1.5339,0.053254,-4.67e-05,2.02e-08,-3.39e-12,-145.57,64.209,,
110,CHO2H,3.6706,0.02813,-1.58e-05,4.02e-09,-3.26e-13,-88.67,59.346,,
111,CFHO,4.9136,0.018727,-8.94e-06,1.26e-09,1.18e-13,-199.45,58.965,,
112,CFOH,3.9553,0.027276,-2.21e-05,8.77e-09,-1.35e-12,-159.77,59.289,,
113,CFO2H,2.562,0.043465,-3.85e-05,1.66e-08,-2.75e-12,-147.28,63.717,,
114,CFO2,3.743,0.036252,-3.44e-05,1.52e-08,-2.53e-12,-80.0,64.74,,
115,CF2COHO,6.6578,0.060926,-5.53e-05,2.42e-08,-4.06e-12,-269.0,78.453,,
116,COOH,5.1135,0.022545,-1.7e-05,6.53e-09,-9.96e-13,-45.14,60.148,,
117,CO,7.1988,-0.0022294,5.64e-06,-3.46e-09,6.85e-13,-27.2,47.228,,
118,CF3CO,5.8249,0.059384,-5.84e-05,2.68e-08,-4.64e-12,-147.16,77.255,,
119,CHFO2,2.7681,0.043835,-3.97e-05,1.74e-08,-2.95e-12,0.0,63.927,,
120,CF2O_OH,2.885,0.063918,-6.36e-05,2.96e-08,-5.18e-12,0.0,70.725,,
121,TFCOF_OH,4.6524,0.10215,-0.0001018,4.72e-08,-8.23e-12,0.0,85.745,,
122,HFPO-DA,10.06,0.25241,-0.00024666,1.12e-07,-1.92e-11,0.0,143.52,,
123,HFPO-DAF,11.577,0.2409,-0.00023634,1.07e-07,-1.84e-11,0.0,144.76,,
124,HFPO-DAlac,9.2867,0.23195,-0.00022741,1.03e-07,-1.77e-11,0.0,138.47,,
125,HFPO-DAester,9.7623,0.20242,-0.00019772,8.94e-08,-1.53e-11,0.0,131.11,,
126,HFPO-DAest_OH,9.5262,0.23254,-0.00023163,1.07e-07,-1.85e-11,0.0,136.34,,
127,HFPO-DAF_OH,11.034,0.27026,-0.00026829,1.23e-07,-2.13e-11,0.0,148.82,,
128,E1,8.5402,0.21078,-0.00020132,8.97e-08,-1.51e-11,0.0,130.72,,
129,E1_minusH,9.656,0.20642,-0.00020377,9.27e-08,-1.59e-11,0.0,134.41,,
130,1H_butane,7.3837,0.15771,-0.00014929,6.615e-08,-1.1138e-11,0.0,,0.0,108.5
131,1H_decane,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,,1.0,193.25
132,1H_dodecane,21.372,0.46396,-0.00045395,2.0568e-07,-3.519e-11,0.0,,2.0,220.31
133,1H_ethane,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,,3.0,79.742
134,1H_hexane,10.97,0.23395,-0.00022503,1.008e-07,-1.7106e-11,0.0,,4.0,136.86
135,1H_pentane,9.3716,0.19518,-0.00018634,8.3041e-08,-1.4038e-11,0.0,,5.0,123.17
136,1H_propane,5.93,0.11846,-0.00010999,4.806e-08,-8.0068e-12,0.0,,6.0,95.578
137,1H_undecane,19.677,0.42541,-0.00041548,1.8802e-07,-3.214e-11,0.0,,7.0,206.63
138,21_propene,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,,8.0,80.045
139,22_fts,5.8068,0.1848,-0.00016314,6.9834e-08,-1.154e-11,0.0,,9.0,116.65
140,22_ftsa,4.8978,0.19245,-0.00016763,7.1358e-08,-1.1768e-11,0.0,,10.0,117.55
141,22ftoh,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,,11.0,100.02
142,22rh,3.92,0.12557,-9.8047e-05,3.7932e-08,-5.782e-12,0.0,,12.0,92.759
143,23_ftca,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,,13.0,110.95
144,31_butene,4.1921,0.13202,-0.00012382,5.5152e-08,-9.3714e-12,0.0,,14.0,95.365
145,32_fts,7.3234,0.22377,-0.00020204,8.7692e-08,-1.4624e-11,0.0,,15.0,132.06
146,32_ftsa,6.5237,0.23119,-0.0002063,8.9114e-08,-1.4835e-11,0.0,,16.0,132.86
147,32_pentene,5.0985,0.1614,-0.00014732,6.4332e-08,-1.0771e-11,0.0,,17.0,105.83
148,32ftoh,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,,18.0,118.37
149,32rh,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,,19.0,108.8
150,33_ftca,5.6588,0.20479,-0.00017668,7.3899e-08,-1.1968e-11,0.0,,20.0,127.08
151,42_fts,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,,21.0,145.44
152,42_ftsa,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,,22.0,146.03
153,42ftoh,8.7226,0.21248,-0.00018413,7.7108e-08,-1.2484e-11,0.0,,23.0,128.55
154,42rh,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,,24.0,121.66
155,43_ftca,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,,25.0,140.15
156,51_hexene,7.6842,0.20856,-0.00019992,8.9987e-08,-1.5373e-11,0.0,,26.0,124.02
157,52_heptene,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,,27.0,134.24
158,52rh,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,,28.0,135.87
159,53_ftca,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,,29.0,153.89
160,61_heptene,9.3318,0.24725,-0.00023855,1.0773e-07,-1.8439e-11,0.0,,30.0,137.79
161,62_fts,12.421,0.33914,-0.00031695,1.4037e-07,-2.3712e-11,0.0,,31.0,173.15
162,62_ftsa,11.639,0.34648,-0.00032111,1.4174e-07,-2.3911e-11,0.0,,32.0,173.91
163,62_octene,10.416,0.27604,-0.00026132,1.1652e-07,-1.9764e-11,0.0,,33.0,147.99
164,62ftab,7.1203,0.5285,-0.00042106,1.656e-07,-2.5582e-11,0.0,,34.0,224.93
165,62ftoh,12.145,0.2893,-0.00026063,1.1217e-07,-1.8532e-11,0.0,,35.0,156.24
166,62rh,10.821,0.279,-0.00025075,1.0789e-07,-1.7842e-11,0.0,,36.0,149.64
167,71_octene,11.221,0.28505,-0.00027604,1.2486e-07,-2.1385e-11,0.0,,37.0,152.36
168,butylallyl,9.4988,0.11984,-0.00011699,5.2971e-08,-9.0669e-12,-274.97,,38.0,106.35
169,c2f4,5.7237,0.058171,-5.6241e-05,2.5472e-08,-4.3786e-12,0.0,,39.0,74.103
170,c2f4o,5.197,0.073191,-7.0516e-05,3.1674e-08,-5.393e-12,-246.94,,40.0,79.899
171,fbsa,11.233,0.22125,-0.00021906,1.0109e-07,-1.7593e-11,0.0,,41.0,131.19
172,fetsa,7.802,0.14442,-0.00014251,6.5988e-08,-1.1535e-11,0.0,,42.0,104.17
173,fhpsa,16.036,0.33743,-0.00033486,1.5421e-07,-2.676e-11,0.0,,43.0,172.27
174,nmefosaa,11.743,0.27613,-0.00025754,1.1408e-07,-1.9287e-11,0.0,,44.0,153.14
175,pfbcof,8.7874,0.14927,-0.00014601,6.6193e-08,-1.1336e-11,0.0,,45.0,109.98
176,pfboh,8.2726,0.1764,-0.00017407,7.9713e-08,-1.3763e-11,0.0,,46.0,113.59
177,pfbs,11.175,0.21519,-0.00021542,9.9673e-08,-1.7344e-11,0.0,,47.0,129.89
178,pfeoh,4.6897,0.10029,-9.858e-05,4.5231e-08,-7.8324e-12,0.0,,48.0,84.567
179,pfets,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,,49.0,101.57
180,pfhpa,12.704,0.27473,-0.00026927,1.2256e-07,-2.1063e-11,0.0,,50.0,151.73
181,pfhpoh,13.374,0.29174,-0.00028895,1.3238e-07,-2.2849e-11,0.0,,51.0,155.32
182,pfhps,16.251,0.33039,-0.00033001,1.5216e-07,-2.6394e-11,0.0,,52.0,172.06
183,pfhxa,10.972,0.23642,-0.00023116,1.0511e-07,-1.8056e-11,0.0,,53.0,137.72
184,pfhxcof,12.286,0.22581,-0.00022214,1.0105e-07,-1.7343e-11,0.0,,54.0,137.55
185,pfhxoh,11.626,0.25346,-0.00025086,1.1494e-07,-1.9843e-11,0.0,,55.0,141.24
186,pfhxs,14.784,0.29118,-0.00029077,1.341e-07,-2.3269e-11,0.0,,56.0,158.46
187,pfoa,14.427,0.3131,-0.00030747,1.4007e-07,-2.4083e-11,0.0,,57.0,165.67
188,pfocof,14.079,0.26393,-0.00026002,1.1838e-07,-2.0328e-11,0.0,,58.0,151.88
189,pfooh,14.773,0.33121,-0.00032852,1.5062e-07,-2.6011e-11,0.0,,59.0,168.24
190,pfpeoh,9.9632,0.21492,-0.00021246,9.7329e-08,-1.6804e-11,0.0,,60.0,127.54
191,pfpes,12.939,0.25323,-0.0002531,1.1688e-07,-2.0306e-11,0.0,,61.0,144.31
192,pfpncof,10.495,0.18766,-0.00018422,8.3691e-08,-1.4353e-11,0.0,,62.0,123.37
193,pfpra,5.7283,0.12156,-0.00011688,5.2758e-08,-9.0306e-12,0.0,,63.0,96.243
194,pfprcof,7.0146,0.1111,-0.00010808,4.883e-08,-8.3445e-12,0.0,,64.0,95.561
195,pfproh,7.862,0.1377,-0.0001379,6.4023e-08,-1.118e-11,0.0,,65.0,101.57
196,pfprs,9.5353,0.17634,-0.0001765,8.1762e-08,-1.4246e-11,0.0,,66.0,116.92
197,propene,4.4189,0.099053,-9.6612e-05,4.3772e-08,-7.5002e-12,0.0,,67.0,84.442
198,tfa,1.8518,0.083796,-7.9417e-05,3.563e-08,-6.0813e-12,0.0,,68.0,75.178
199,tfcof,5.1967,0.073193,-7.0524e-05,3.168e-08,-5.3945e-12,0.0,,69.0,79.91
200,triflate_amide,5.7568,0.10706,-0.00010551,4.9102e-08,-8.6328e-12,0.0,,70.0,87.728
201,triflic,6.0954,0.099749,-0.00010039,4.6934e-08,-8.2463e-12,0.0,,71.0,87.011
