Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Molecular Formula,Veri. SMILES,SMILES,Log Path
42_fts,,,,,,,,C6H5F9O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/42_fts.log
1_octane_c7_carbene,,,,,,,,C7F14,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log
32_ftsa,,,,,,,,C5H6F7NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/32_ftsa.log
23_ftca,,,,,,,,C5H5F5O2,O=C(O)CCC(F)(F)C(F)(F)F,OC(=O)CCC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/23_ftca.log
c3_oco2h,,,,,,,,C4HF7O3,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/c3_oco2h.log
hfp_1oh_1rad_prod,,,,,,,,C3HF6O,O[C](F)C(F)(F)C(F)(F)F,O[C](C(C(F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log
3_octyl,,,,,,,,C8F17,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_octyl.log
42_ftsa,,,,,,,,C6H6F9NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/42_ftsa.log
ester_oh,,,,,,,,C5HF10O3,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,/qchem_data/log_to_pdb_in/ester_oh.log
propene_calpha_rad,,,,,,,,C3F5,F/[C]=C(\F)C(F)(F)F,F/[C]=C(/C(F)(F)F)\F,/qchem_data/log_to_pdb_in/propene_calpha_rad.log
43_ftca,,,,,,,,C7H5F9O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/43_ftca.log
52_fts,,,,,,,,C7H5F11O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/52_fts.log
pfpes,,,,,,,,C5HF11O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/pfpes.log
propene_talphaF_rad,,,,,,,,C3F5,F/[C]=C(/F)C(F)(F)F,F/[C]=C(\C(F)(F)F)/F,/qchem_data/log_to_pdb_in/propene_talphaF_rad.log
cf2cf,,,,,,,,C2F3,F[C]=C(F)F,F[C]=C(F)F,/qchem_data/log_to_pdb_in/cf2cf.log
4_octyl,,,,,,,,C8F17,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/4_octyl.log
c5_prim_sec_rad_isots,,,,,,,,C5F11,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],/qchem_data/log_to_pdb_in/c5_prim_sec_rad_isots.log
allyl,,,,,,,,C3F5,F[C](F)C(F)=C(F)F,F[C](C(=C(F)F)F)F,/qchem_data/log_to_pdb_in/allyl.log
c3f6oOH2nd,,,,,,,,C3HF6O2,[O]C(O)(F)C(F)(F)C(F)(F)F,FC(C(F)(F)F)(C(F)(O)[O])F,/qchem_data/log_to_pdb_in/c3f6oOH2nd.log
32_fts,,,,,,,,C5H5F7O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,/qchem_data/log_to_pdb_in/32_fts.log
22_ftsa,,,,,,,,C4H6F5NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/22_ftsa.log
c2h6,,,,,,,,C2H6,CC,CC,/qchem_data/log_to_pdb_in/c2h6.log
3_pentyl,,,,,,,,C6F13,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_pentyl.log
c4_sec_sec_rad_isots,,,,,,,,C4F9,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],/qchem_data/log_to_pdb_in/c4_sec_sec_rad_isots.log
hfp_2oh,,,,,,,,C3HF6O,O[C@](F)([C](F)F)C(F)(F)F,F[C]([C@@](C(F)(F)F)(F)O)F,/qchem_data/log_to_pdb_in/hfp_2oh.log
cpropane_intts_prod,,,,,,,,C3F6,F[C](F)C(F)(F)[C](F)F,F[C](C([C](F)F)(F)F)F,/qchem_data/log_to_pdb_in/cpropane_intts_prod.log
4_heptyl,,,,,,,,C7F15,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/4_heptyl.log
cf2_tfa_prod,,,,,,,,C3HF5O2,O=C(OC(F)F)C(F)(F)F,FC(OC(=O)C(F)(F)F)F,/qchem_data/log_to_pdb_in/cf2_tfa_prod.log
33_ftca,,,,,,,,C6H5F7O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/33_ftca.log
tfcof_oh,,,,,,,,C2HF4O2,[O]C(O)(F)C(F)(F)F,FC(C(F)([O])O)(F)F,/qchem_data/log_to_pdb_in/tfcof_oh.log
fhxsa,,,,,,,,C6H2F13NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/fhxsa.log
cpropane_picomplex,,,,,,,,C3F6,FC(F)=C(F)F.F[C]F,FC(=C(F)F)F.F[C]F,/qchem_data/log_to_pdb_in/cpropane_picomplex.log
fpnsa,,,,,,,,C5H2F11NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/fpnsa.log
propane,,,,,,,,C3H8,CCC,CCC,/qchem_data/log_to_pdb_in/propane.log
cf3cf2chf,,,,,,,,C3HF6,F[CH]C(F)(F)C(F)(F)F,F[CH]C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/cf3cf2chf.log
hfp_2oh_1rad_prod,,,,,,,,C3HF6O,O[C@@](F)([C](F)F)C(F)(F)F,F[C]([C@](C(F)(F)F)(F)O)F,/qchem_data/log_to_pdb_in/hfp_2oh_1rad_prod.log
2Hbutane,,,,,,,,C4HF9,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,/qchem_data/log_to_pdb_in/2Hbutane.log
hfp_1oh_ts,,,,,,,,C3HF6O,O/C(F)=C(/F)C(F)(F)F.[F],O/C(=C(\C(F)(F)F)/F)/F.[F],/qchem_data/log_to_pdb_in/hfp_1oh_ts.log
3_heptyl,,,,,,,,C7F15,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_heptyl.log
cf2hcf2,,,,,,,,C2HF4,F[C](F)C(F)F,FC([C](F)F)F,/qchem_data/log_to_pdb_in/cf2hcf2.log
62_fts,,,,,,,,C8H5F13O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,/qchem_data/log_to_pdb_in/62_fts.log
62_ftsa,,,,,,,,C8H6F13NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/62_ftsa.log
