Molecule,a0,a1,a2,a3,a4,H_f_0K,S(300K),Log Name,Veri. SMILES,SMILES,Log Path
C11HF23,,,,,,,,1H_undecane,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/1H_undecane.log
C3HF7O3S,,,,,,,,pfprs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(O)([O])[O])(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/pfprs.log
C8H5F11O2,,,,,,,,53_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/53_ftca.log
C2HF4,,,,,,,,cf3chf,F[CH]C(F)(F)F,F[CH]C(F)(F)F,/qchem_data/log_to_pdb_in/cf3chf.log
C2HF5O3S,,,,,,,,pfets,O=S(=O)(O)C(F)(F)C(F)(F)F,FC(C(F)(F)F)(S([O])([O])O)F,/qchem_data/log_to_pdb_in/pfets.log
C3HF6O,,,,,,,,hfp_2oh_2rad_prod,O[C](C(F)(F)F)C(F)(F)F,O[C](C(F)(F)F)C(F)(F)F,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log
C6H5F9O3S,,,,,,,,42_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,/qchem_data/log_to_pdb_in/42_fts.log
C7F14,,,,,,,,1_octane_c7_carbene,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log
C5H6F7NO2S,,,,,,,,32_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/32_ftsa.log
C8HF17O3S,,,,,,,,pfos,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(S([O])(O)[O])(F)F)(F)F)F,/qchem_data/log_to_pdb_in/pfos.log
C5H5F5O2,,,,,,,,23_ftca,O=C(O)CCC(F)(F)C(F)(F)F,OC(=O)CCC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/23_ftca.log
C3H2F7NO2S,,,,,,,,fprsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/fprsa.log
C4HF7O3,,,,,,,,c3_oco2h,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/c3_oco2h.log
C3HF6O,,,,,,,,hfp_1oh_1rad_prod,O[C](F)C(F)(F)C(F)(F)F,O[C](C(C(F)(F)F)(F)F)F,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log
C8F17,,,,,,,,3_octyl,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_octyl.log
C6H6F9NO2S,,,,,,,,42_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/42_ftsa.log
C5HF10O3,,,,,,,,ester_oh,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,/qchem_data/log_to_pdb_in/ester_oh.log
C3F5,,,,,,,,propene_calpha_rad,F/[C]=C(\F)C(F)(F)F,F/[C]=C(/C(F)(F)F)\F,/qchem_data/log_to_pdb_in/propene_calpha_rad.log
C7H5F9O2,,,,,,,,43_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/43_ftca.log
C7H5F11O3S,,,,,,,,52_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/52_fts.log
C5HF11O3S,,,,,,,,pfpes,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/pfpes.log
C8H5F13O,,,,,,,,62ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/62ftoh.log
C7H2F15NO2S,,,,,,,,fhpsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,/qchem_data/log_to_pdb_in/fhpsa.log
C3F5,,,,,,,,propene_talphaF_rad,F/[C]=C(/F)C(F)(F)F,F/[C]=C(\C(F)(F)F)/F,/qchem_data/log_to_pdb_in/propene_talphaF_rad.log
C2F3,,,,,,,,cf2cf,F[C]=C(F)F,F[C]=C(F)F,/qchem_data/log_to_pdb_in/cf2cf.log
C8F17,,,,,,,,4_octyl,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/4_octyl.log
C7H5F11O,,,,,,,,52ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/52ftoh.log
C5H5F7O,,,,,,,,32ftoh,OCCC(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/32ftoh.log
C5F11,,,,,,,,c5_prim_sec_rad_isots,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],/qchem_data/log_to_pdb_in/c5_prim_sec_rad_isots.log
C3F5,,,,,,,,allyl,F[C](F)C(F)=C(F)F,F[C](C(=C(F)F)F)F,/qchem_data/log_to_pdb_in/allyl.log
C3HF6O2,,,,,,,,c3f6oOH2nd,[O]C(O)(F)C(F)(F)C(F)(F)F,FC(C(F)(F)F)(C(F)(O)[O])F,/qchem_data/log_to_pdb_in/c3f6oOH2nd.log
C5H5F7O3S,,,,,,,,32_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,/qchem_data/log_to_pdb_in/32_fts.log
C4H6F5NO2S,,,,,,,,22_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)F,FC(C(F)(F)F)(CCS(=O)(=O)N)F,/qchem_data/log_to_pdb_in/22_ftsa.log
C8H5F13,,,,,,,,62rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/62rh.log
C2H6,,,,,,,,c2h6,CC,CC,/qchem_data/log_to_pdb_in/c2h6.log
C6F13,,,,,,,,3_pentyl,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_pentyl.log
C7H2F12,,,,,,,,61_heptene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/61_heptene.log
C4F9,,,,,,,,c4_sec_sec_rad_isots,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],/qchem_data/log_to_pdb_in/c4_sec_sec_rad_isots.log
C4HF9O3S,,,,,,,,pfbs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(O)([O])[O])F,/qchem_data/log_to_pdb_in/pfbs.log
C3HF6O,,,,,,,,hfp_2oh,O[C@](F)([C](F)F)C(F)(F)F,F[C]([C@@](C(F)(F)F)(F)O)F,/qchem_data/log_to_pdb_in/hfp_2oh.log
C7H5F11,,,,,,,,52rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/52rh.log
C3F6,,,,,,,,cpropane_intts_prod,F[C](F)C(F)(F)[C](F)F,F[C](C([C](F)F)(F)F)F,/qchem_data/log_to_pdb_in/cpropane_intts_prod.log
C3H2F4,,,,,,,,21_propene,C=C(F)C(F)(F)F,FC(=C)C(F)(F)F,/qchem_data/log_to_pdb_in/21_propene.log
C5H5F7,,,,,,,,32rh,CCC(F)(F)C(F)(F)C(F)(F)F,CCC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/32rh.log
CH2F3NO2S,,,,,,,,triflate_amide,NS(=O)(=O)C(F)(F)F,FC(S(=O)(=O)N)(F)F,/qchem_data/log_to_pdb_in/triflate_amide.log
C7F15,,,,,,,,4_heptyl,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/4_heptyl.log
C8H2F14,,,,,,,,71_octene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/71_octene.log
C5H3F7,,,,,,,,32_pentene,C=CC(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/32_pentene.log
C6HF13O3S,,,,,,,,pfhxs,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],/qchem_data/log_to_pdb_in/pfhxs.log
C3HF5O2,,,,,,,,cf2_tfa_prod,O=C(OC(F)F)C(F)(F)F,FC(OC(=O)C(F)(F)F)F,/qchem_data/log_to_pdb_in/cf2_tfa_prod.log
C6H5F7O2,,,,,,,,33_ftca,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(C(C(F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/33_ftca.log
C2HF4O2,,,,,,,,tfcof_oh,[O]C(O)(F)C(F)(F)F,FC(C(F)([O])O)(F)F,/qchem_data/log_to_pdb_in/tfcof_oh.log
C4H3F5,,,,,,,,22_butene,C=CC(F)(F)C(F)(F)F,C=CC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/22_butene.log
C6H2F13NO2S,,,,,,,,fhxsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/fhxsa.log
C4H5F5,,,,,,,,22rh,CCC(F)(F)C(F)(F)F,CCC(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/22rh.log
C8H3F13,,,,,,,,62_octene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/62_octene.log
C6H5F9O,,,,,,,,42ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/42ftoh.log
C3F6,,,,,,,,cpropane_picomplex,FC(F)=C(F)F.F[C]F,FC(=C(F)F)F.F[C]F,/qchem_data/log_to_pdb_in/cpropane_picomplex.log
C8HF17O,,,,,,,,pfooh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/pfooh.log
C2H2F5NO2S,,,,,,,,fetsa,NS(=O)(=O)C(F)(F)C(F)(F)F,FC(S(=O)(=O)N)(C(F)(F)F)F,/qchem_data/log_to_pdb_in/fetsa.log
C5H2F11NO2S,,,,,,,,fpnsa,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/fpnsa.log
C3H8,,,,,,,,propane,CCC,CCC,/qchem_data/log_to_pdb_in/propane.log
C3HF6,,,,,,,,cf3cf2chf,F[CH]C(F)(F)C(F)(F)F,F[CH]C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/cf3cf2chf.log
C3HF6O,,,,,,,,hfp_2oh_1rad_prod,O[C@@](F)([C](F)F)C(F)(F)F,F[C]([C@](C(F)(F)F)(F)O)F,/qchem_data/log_to_pdb_in/hfp_2oh_1rad_prod.log
C4HF9,,,,,,,,2Hbutane,F[C@H](C(F)(F)F)C(F)(F)C(F)(F)F,F[C@@H](C(C(F)(F)F)(F)F)C(F)(F)F,/qchem_data/log_to_pdb_in/2Hbutane.log
C3HF6O,,,,,,,,hfp_1oh_ts,O/C(F)=C(/F)C(F)(F)F.[F],O/C(=C(\C(F)(F)F)/F)/F.[F],/qchem_data/log_to_pdb_in/hfp_1oh_ts.log
C7F15,,,,,,,,3_heptyl,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,/qchem_data/log_to_pdb_in/3_heptyl.log
C6H2F10,,,,,,,,51_hexene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=C)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/51_hexene.log
C6H4F9NO4S,,,,,,,,nmefosaa,O=C(O)CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CNS(=O)(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/nmefosaa.log
C2HF4,,,,,,,,cf2hcf2,F[C](F)C(F)F,FC([C](F)F)F,/qchem_data/log_to_pdb_in/cf2hcf2.log
C8H5F13O3S,,,,,,,,62_fts,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O]S(CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)([O])O,/qchem_data/log_to_pdb_in/62_fts.log
C8H6F13NO2S,,,,,,,,62_ftsa,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NS(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,/qchem_data/log_to_pdb_in/62_ftsa.log
C3F5O,,,,,,,,c3f5co,O=C(F)[C](F)C(F)(F)F,FC(=O)[C](C(F)(F)F)F,/qchem_data/log_to_pdb_in/c3f5co.log
