Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions,a0,a1,a2,a3,a4,H_f_0K,S(300K)
c5_secondary_rad,C5F11,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,15,5,11.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,4,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.623,0.19066,-0.00018888,8.6216e-08,-1.4822e-11,-515.44,129.45
hfp_1oh_2rad_scanhf,C3HF6O,0.0,1.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,8,3,6.0,1.0,1.0,F.O=C(F)[C](F)C(F)(F)F,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1_propyl,C3F7,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9,3,7.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)F,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2485,0.11815,-0.00011889,5.5103e-08,-9.604e-12,-312.05,96.543888
pfeoh,C2HF5O,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,8,2,5.0,1.0,1.0,OC(F)(F)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7496,0.1002,-9.8541e-05,4.522e-08,-7.8301e-12,-315.65,84.634
41_pentene,C5H2F8,1.0,0.0,1.0,3.0,8.0,2.0,0.0,0.0,0.0,0.0,13,5,8.0,2.0,0.0,C=C(F)C(F)(F)C(F)(F)C(F)(F)F,3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9147,0.17035,-0.00016194,7.2606e-08,-1.238e-11,0.0,110.4
c2f4o2,C2F4O2,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,7,2,4.0,0.0,2.0,[O]OC(F)(F)[C](F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0756,0.085872,-8.4612e-05,3.8465e-08,-6.5923e-12,-145.69,88.684
22ftoh,C4H5F5O,0.0,0.0,0.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,14,4,5.0,5.0,1.0,OCCC(F)(F)C(F)(F)F,4,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,100.02
52_heptene,C7H3F11,1.0,0.0,1.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0,19,7,11.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
c5_sec_tert_rad_isots,C5F11,1.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,13,5,11.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)F)C(F)(F)F.[F],3,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
cf3o_cf2o_prod,C2F5O2,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,8,2,5.0,0.0,2.0,[O]C(F)(F)OC(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0982,0.10954,-0.0001097,5.0389e-08,-8.6946e-12,0.0,90.556
cf2o_2h2oprod,CH4F2O3,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,8,1,2.0,4.0,3.0,O.OC(O)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.1811,0.088948,-8.5855e-05,4.0532e-08,-7.2617e-12,-295.56,88.046
1H_dodecane,C12HF25,0.0,0.0,0.0,11.0,25.0,1.0,0.0,0.0,0.0,0.0,37,12,25.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11,9.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.372,0.46396,-0.00045395,2.0568e-07,-3.519e-11,0.0,220.31
42rh,C6H5F9,0.0,0.0,0.0,5.0,9.0,5.0,0.0,0.0,0.0,0.0,19,6,9.0,5.0,0.0,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
frd_903_carbF,C6F12O2,0.0,1.0,1.0,4.0,12.0,0.0,2.0,0.0,0.0,0.0,18,6,12.0,0.0,2.0,O=C(F)[C@](F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,6,0.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,14.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,11.577,0.2409,-0.00023634,1.0721e-07,-1.8354e-11,0.0,144.76
cf2oh,CHF2O,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4,1,2.0,1.0,1.0,O[C](F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0407,0.043616,-4.0623e-05,1.8042e-08,-3.0514e-12,-109.79,67.02
c8_secondary_rad,C8F17,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,24,8,17.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.714,0.30607,-0.00030385,1.3894e-07,-2.3918e-11,-917.28,170.93
1_octane_c4_rad,C4F9,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,12,4,9.0,0.0,0.0,F[C](F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.458,0.14535,-0.00014061,6.2826e-08,-1.0604e-11,-409.98,114.89
42_hexene,C6H3F9,1.0,0.0,1.0,4.0,9.0,3.0,0.0,0.0,0.0,0.0,16,6,9.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
hfp_1oh_2nd,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,OC(F)(F)[C](F)C(F)(F)F,3,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1H_decane,C10HF21,0.0,0.0,0.0,9.0,21.0,1.0,0.0,0.0,0.0,0.0,31,10,21.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,193.25
2_hexyl,C6F13,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,18,6,13.0,0.0,0.0,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.861,0.23065,-0.00022901,1.0471e-07,-1.8025e-11,0.0,141.88
co2h,CHO2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,0.0,1.0,2.0,O=[C]O,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1135,0.022545,-1.7014e-05,6.5272e-09,-9.9631e-13,-45.14,60.148
frd_903_0HFAts_prod,C6HF11O3,0.0,1.0,1.0,4.0,10.0,0.0,4.0,1.0,0.0,0.0,19,6,11.0,1.0,3.0,F.O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,
octane1H,C8HF17,0.0,0.0,0.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,25,8,17.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,5.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.24,0.3113,-0.00030219,1.3622e-07,-2.3223e-11,-958.27,164.19
1H_nonane,C9HF19,0.0,0.0,0.0,8.0,19.0,1.0,0.0,0.0,0.0,0.0,28,9,19.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.009,0.34947,-0.00034012,1.5358e-07,-2.6212e-11,0.0,178.23
c2f4h2o_prod,C2H2F4O,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,8,2,4.0,2.0,1.0,OC(F)(F)C(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0754,0.088753,-7.9704e-05,3.4403e-08,-5.7031e-12,-264.63,80.947
butene_OH,C4HF8O,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,13,4,8.0,1.0,1.0,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,4,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.959,0.16092,-0.00015895,7.2888e-08,-1.26e-11,-419.97,44.901
1H_undecane,C11HF23,0.0,0.0,0.0,10.0,23.0,1.0,0.0,0.0,0.0,0.0,34,11,23.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10,8.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.677,0.42541,-0.00041548,1.8802e-07,-3.214e-11,0.0,206.63
butene,C4F8,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,10,4,8.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)F,2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2447,0.13653,-0.00013345,6.0494e-08,-1.0364e-11,0.0,116.51
53_ftca,C8H5F11O2,0.0,1.0,1.0,7.0,11.0,4.0,1.0,0.0,1.0,0.0,24,8,11.0,5.0,2.0,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,5.0,9.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.896,0.28228,-0.00025402,1.0942e-07,-1.8104e-11,0.0,153.89
heptene,C7F14,1.0,0.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,19,7,14.0,0.0,0.0,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.372,0.25169,-0.00024804,1.1298e-07,-1.9411e-11,0.0,147.34
cfoh3,CH3FO3,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,7,1,1.0,3.0,3.0,OC(O)(O)F,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.55,0.079268,-7.5949e-05,3.5195e-08,-6.1885e-12,-207.12,71.934
cf2oh2,CH2F2O2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6,1,2.0,2.0,2.0,OC(O)(F)F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.252,0.072219,-7.0036e-05,3.2375e-08,-5.6632e-12,-212.82,70.375
hfp_2oh_2rad_prod,C3HF6O,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,10,3,6.0,1.0,1.0,O[C](C(F)(F)F)C(F)(F)F,3,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,
butane1H,C4HF9,0.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,13,4,9.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)F,3,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3881,0.1577,-0.00014927,6.6139e-08,-1.1136e-11,-458.61,108.51
1_octane_c7_carbene,C7F14,0.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,20,7,14.0,0.0,0.0,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
