SMILES,Molecule,Veri. SMILES,Log Name,Log Path
FC(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C9HF19,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_nonane,/qchem_data/log_to_pdb_in/1H_nonane.log
FC(C(F)(F)O)F,C2H2F4O,OC(F)(F)C(F)F,c2f4h2o_prod,/qchem_data/log_to_pdb_in/c2f4h2o_prod.log
F[C](C(C(F)(F)F)(F)F)C(F)(F)O,C4HF8O,OC(F)(F)[C](F)C(F)(F)C(F)(F)F,butene_OH,/qchem_data/log_to_pdb_in/butene_OH.log
FC(S(O)([O])[O])(F)F,CHF3O3S,O=S(=O)(O)C(F)(F)F,triflic,/qchem_data/log_to_pdb_in/triflic.log
FC(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C11HF23,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1H_undecane,/qchem_data/log_to_pdb_in/1H_undecane.log
FC(C(C(S(O)([O])[O])(F)F)(F)F)(F)F,C3HF7O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)F,pfprs,/qchem_data/log_to_pdb_in/pfprs.log
FC(=C(C(C(F)(F)F)(F)F)F)F,C4F8,FC(F)=C(F)C(F)(F)C(F)(F)F,butene,/qchem_data/log_to_pdb_in/butene.log
OC(=O)CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F11O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,53_ftca,/qchem_data/log_to_pdb_in/53_ftca.log
FC(=C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,C7F14,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,heptene,/qchem_data/log_to_pdb_in/heptene.log
OC(F)(O)O,CH3FO3,OC(O)(O)F,cfoh3,/qchem_data/log_to_pdb_in/cfoh3.log
OC(F)(F)O,CH2F2O2,OC(O)(F)F,cf2oh2,/qchem_data/log_to_pdb_in/cf2oh2.log
F[CH]C(F)(F)F,C2HF4,F[CH]C(F)(F)F,cf3chf,/qchem_data/log_to_pdb_in/cf3chf.log
FC(C(F)(F)F)(S([O])([O])O)F,C2HF5O3S,O=S(=O)(O)C(F)(F)C(F)(F)F,pfets,/qchem_data/log_to_pdb_in/pfets.log
O[C](C(F)(F)F)C(F)(F)F,C3HF6O,O[C](C(F)(F)F)C(F)(F)F,hfp_2oh_2rad_prod,/qchem_data/log_to_pdb_in/hfp_2oh_2rad_prod.log
FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS([O])([O])O)F,C6H5F9O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_fts,/qchem_data/log_to_pdb_in/42_fts.log
FC(=O)C(F)(F)F,C2F4O,O=C(F)C(F)(F)F,c2f4o,/qchem_data/log_to_pdb_in/c2f4o.log
FC(C(C(C(F)(F)F)(F)F)(F)F)F,C4HF9,FC(F)C(F)(F)C(F)(F)C(F)(F)F,butane1H,/qchem_data/log_to_pdb_in/butane1H.log
[F],F,[F],f,/qchem_data/log_to_pdb_in/f.log
F[C]C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C7F14,F[C]C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c7_carbene,/qchem_data/log_to_pdb_in/1_octane_c7_carbene.log
OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C4HF9O,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfboh,/qchem_data/log_to_pdb_in/pfboh.log
FC(C(C(F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)F,C6F14,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,hexane,/qchem_data/log_to_pdb_in/hexane.log
FC(=O)F.O.O,CH4F2O3,O.O.O=C(F)F,cf2o_2h2oreact,/qchem_data/log_to_pdb_in/cf2o_2h2oreact.log
FC(C(C(F)(F)F)(F)F)(CCS(=O)(=O)N)F,C5H6F7NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)F,32_ftsa,/qchem_data/log_to_pdb_in/32_ftsa.log
FC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(C(S([O])(O)[O])(F)F)(F)F)F,C8HF17O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfos,/qchem_data/log_to_pdb_in/pfos.log
F[C](C(C(F)(F)F)(F)F)C(F)(F)F,C4F9,F[C](C(F)(F)F)C(F)(F)C(F)(F)F,c4_secondary_rad,/qchem_data/log_to_pdb_in/c4_secondary_rad.log
OC(=O)CCC(C(F)(F)F)(F)F,C5H5F5O2,O=C(O)CCC(F)(F)C(F)(F)F,23_ftca,/qchem_data/log_to_pdb_in/23_ftca.log
F/C(=C(\C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,C8F16,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2_octene,/qchem_data/log_to_pdb_in/2_octene.log
FC(=O)C(C(C(F)(F)F)(F)F)(F)F,C4F8O,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,pfbcof,/qchem_data/log_to_pdb_in/pfbcof.log
FC(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F,C3H2F7NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,fprsa,/qchem_data/log_to_pdb_in/fprsa.log
OC(=O)OC(C(C(F)(F)F)(F)F)(F)F,C4HF7O3,O=C(O)OC(F)(F)C(F)(F)C(F)(F)F,c3_oco2h,/qchem_data/log_to_pdb_in/c3_oco2h.log
O[C](C(C(F)(F)F)(F)F)F,C3HF6O,O[C](F)C(F)(F)C(F)(F)F,hfp_1oh_1rad_prod,/qchem_data/log_to_pdb_in/hfp_1oh_1rad_prod.log
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C8F17,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3_octyl,/qchem_data/log_to_pdb_in/3_octyl.log
FC1(F)C(F)(F)C(C1(F)F)(F)F,C4F8,FC1(F)C(F)(F)C(F)(F)C1(F)F,cbutane,/qchem_data/log_to_pdb_in/cbutane.log
FC(C(C(C(F)(F)F)(F)F)(F)F)(CCS(=O)(=O)N)F,C6H6F9NO2S,NS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42_ftsa,/qchem_data/log_to_pdb_in/42_ftsa.log
FC(C(OC(C(C(F)(F)F)(F)F)(F)F)(O)[O])(F)F,C5HF10O3,[O]C(O)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,ester_oh,/qchem_data/log_to_pdb_in/ester_oh.log
OC(=O)C(C(C(F)(F)F)(F)F)(F)F,C4HF7O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,pfba,/qchem_data/log_to_pdb_in/pfba.log
F/C(=C(\C(F)(F)F)/F)/C(F)(F)F,C4F8,F/C(=C(/F)C(F)(F)F)C(F)(F)F,2_butene_ip,/qchem_data/log_to_pdb_in/2_butene_ip.log
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,C5F11,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c5_rad,/qchem_data/log_to_pdb_in/c5_rad.log
O=[C]C(F)(F)F,C2F3O,O=[C]C(F)(F)F,cf3co,/qchem_data/log_to_pdb_in/cf3co.log
O=O,O2,O=O,o2,/qchem_data/log_to_pdb_in/o2.log
F/[C]=C(/C(F)(F)F)\F,C3F5,F/[C]=C(\F)C(F)(F)F,propene_calpha_rad,/qchem_data/log_to_pdb_in/propene_calpha_rad.log
OC(F)F.O,CH4F2O2,O.OC(F)F,cf2_2h2o_prod,/qchem_data/log_to_pdb_in/cf2_2h2o_prod.log
FC([C@@]1(F)OC1(F)F)(F)F,C3F6O,FC(F)(F)[C@@]1(F)OC1(F)F,c3f6o,/qchem_data/log_to_pdb_in/c3f6o.log
OC(=O)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C7H5F9O2,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,43_ftca,/qchem_data/log_to_pdb_in/43_ftca.log
FC(C(C(F)(F)F)(F)F)(C(F)(F)F)F,C4F10,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,butane,/qchem_data/log_to_pdb_in/butane.log
O=C(C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,C5F10O2,O=C(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_0HFAts_prod_COlossprod,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod_COlossprod.log
F[C](C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)C(F)(F)F,C7F15,F[C](C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,c7_secondary_rad,/qchem_data/log_to_pdb_in/c7_secondary_rad.log
O,H2O,O,h2o,/qchem_data/log_to_pdb_in/h2o.log
OC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C6HF11O2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_hexane,/qchem_data/log_to_pdb_in/1_hexane.log
[O]S(CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],C7H5F11O3S,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52_fts,/qchem_data/log_to_pdb_in/52_fts.log
FC(=O)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C6F12O,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfhxal,/qchem_data/log_to_pdb_in/pfhxal.log
OC(=O)F,CHFO2,O=C(O)F,chfo2,/qchem_data/log_to_pdb_in/chfo2.log
FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F,C5F10,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,pentene,/qchem_data/log_to_pdb_in/pentene.log
F/C(=C(\C(C(C(F)(F)F)(F)F)(F)F)/F)/C(F)(F)F,C6F12,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2_hexene,/qchem_data/log_to_pdb_in/2_hexene.log
FC(=O)C(C(F)(F)F)(F)F,C3F6O,O=C(F)C(F)(F)C(F)(F)F,c2f5cof,/qchem_data/log_to_pdb_in/c2f5cof.log
[O]S(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(O)[O],C5HF11O3S,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfpes,/qchem_data/log_to_pdb_in/pfpes.log
F[C](C(=O)O)F,C2HF2O2,O=C(O)[C](F)F,cf2coho,/qchem_data/log_to_pdb_in/cf2coho.log
[O]C(F)(F)O,CHF2O2,[O]C(O)(F)F,cf2o_oh,/qchem_data/log_to_pdb_in/cf2o_oh.log
F[C]F.O,CH2F2O,F[C]F.O,cf2_h2o_ts_react,/qchem_data/log_to_pdb_in/cf2_h2o_ts_react.log
F[C@H](C(C(F)(F)F)(F)F)C(F)(F)F,C4HF9,F[C@@H](C(F)(F)F)C(F)(F)C(F)(F)F,c4f9H_secondary,/qchem_data/log_to_pdb_in/c4f9H_secondary.log
F[C](C(F)(F)F)OC(C(C(F)(F)F)(F)F)(F)F,C5F11O,F[C](OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_c5f11o,/qchem_data/log_to_pdb_in/frd_c5f11o.log
OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13O,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,62ftoh,/qchem_data/log_to_pdb_in/62ftoh.log
FC(C(C(C(C(C(S(=O)(=O)N)(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,C7H2F15NO2S,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,fhpsa,/qchem_data/log_to_pdb_in/fhpsa.log
OC(F)F,CH2F2O,OC(F)F,cf2_h2o_ts_prod,/qchem_data/log_to_pdb_in/cf2_h2o_ts_prod.log
F/[C]=C(\C(F)(F)F)/F,C3F5,F/[C]=C(/F)C(F)(F)F,propene_talphaF_rad,/qchem_data/log_to_pdb_in/propene_talphaF_rad.log
F[C]=C(F)F,C2F3,F[C]=C(F)F,cf2cf,/qchem_data/log_to_pdb_in/cf2cf.log
FC(=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,C5F10O,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pfpnal,/qchem_data/log_to_pdb_in/pfpnal.log
F[C](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F,C7F15,F[C](F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1_octane_c7_rad,/qchem_data/log_to_pdb_in/1_octane_c7_rad.log
F[C](C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)C(C(C(F)(F)F)(F)F)(F)F,C8F17,F[C](C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4_octyl,/qchem_data/log_to_pdb_in/4_octyl.log
FC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,C5HF11,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,pentane1H,/qchem_data/log_to_pdb_in/pentane1H.log
OCCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H5F11O,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,52ftoh,/qchem_data/log_to_pdb_in/52ftoh.log
OCCC(C(C(F)(F)F)(F)F)(F)F,C5H5F7O,OCCC(F)(F)C(F)(F)C(F)(F)F,32ftoh,/qchem_data/log_to_pdb_in/32ftoh.log
O[C]F,CHFO,O[C]F,cfoh_cis,/qchem_data/log_to_pdb_in/cfoh_cis.log
FC(C(F)(F)F)(C(F)(F)[O])F,C3F7O,[O]C(F)(F)C(F)(F)C(F)(F)F,c3f7o,/qchem_data/log_to_pdb_in/c3f7o.log
[O]C(F)(F)F,CF3O,[O]C(F)(F)F,cf3o,/qchem_data/log_to_pdb_in/cf3o.log
F[C]=O,CFO,O=[C]F,cof,/qchem_data/log_to_pdb_in/cof.log
FC(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,C8F18,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,n_octane_twisted,/qchem_data/log_to_pdb_in/n_octane_twisted.log
O=C1O[C@]1(OC(C(C(F)(F)F)(F)F)(F)F)C(F)(F)F,C6F10O3,O=C1O[C@]1(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,frd_903_0HFAts_prod_minusHF,/qchem_data/log_to_pdb_in/frd_903_0HFAts_prod_minusHF.log
FC(=O)[C](C(C(F)(F)F)(F)F)F,C4F7O,O=C(F)[C](F)C(F)(F)C(F)(F)F,c4f7_o,/qchem_data/log_to_pdb_in/c4f7_o.log
FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],C5F11,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],c5_prim_sec_rad_isots,/qchem_data/log_to_pdb_in/c5_prim_sec_rad_isots.log
FC(=O)F.O,CH2F2O2,O.O=C(F)F,cf2o_h2o,/qchem_data/log_to_pdb_in/cf2o_h2o.log
OC(=O)O,CH2O3,O=C(O)O,cooh2,/qchem_data/log_to_pdb_in/cooh2.log
